"Kod";"Nazwa";"ogółem;ogółem;2024;[osoba]";"70 i więcej;ogółem;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";2868242;416508;
0400000;"KUJAWSKO-POMORSKIE";1984479;276273;
0600000;"LUBELSKIE";1996440;293986;
0800000;"LUBUSKIE";969819;134377;
1000000;"ŁÓDZKIE";2345924;367885;
1200000;"MAŁOPOLSKIE";3429084;440656;
1400000;"MAZOWIECKIE";5508322;738206;
1600000;"OPOLSKIE";930296;135359;
1800000;"PODKARPACKIE";2062997;274002;
2000000;"PODLASKIE";1132641;156076;
2200000;"POMORSKIE";2359493;302750;
2400000;"ŚLĄSKIE";4291441;636213;
2600000;"ŚWIĘTOKRZYSKIE";1157991;182578;
2800000;"WARMIŃSKO-MAZURSKIE";1349172;177620;
3000000;"WIELKOPOLSKIE";3479986;448780;
3200000;"ZACHODNIOPOMORSKIE";1622760;236717;
